Timestamp,Actor,Role,Action,Object_Instance,Object_Type,Topic,Course_ID
2015-09-05 10:06,curso1,staff,create,1,wiki,Topic 1,curso1,
2015-09-03 20:56,curso1,staff,create,1,quiz,Topic 1,curso1,
2015-09-17 23:17,curso1,staff,create,1,link,Topic 1,curso1,
2015-09-11 14:16,curso1,staff,submit,2,assessment,Topic 2,curso1,
2015-09-17 17:33,curso1,staff,create,2,forum,Topic 2,curso1,
2015-09-25 14:45,curso1,staff,create,2,link,Topic 2,curso1,
2015-09-09 14:15,curso1,staff,submit,3,assessment,Topic 3,curso1,
2015-09-13 10:40,curso1,staff,create,3,wiki,Topic 3,curso1,
2015-09-17 18:52,curso1,staff,create,3,quiz,Topic 3,curso1,
2015-09-05 08:00,curso1,staff,create,3,video,Topic 3,curso1,
2015-09-04 11:52,curso1,staff,submit,4,assessment,Topic 4,curso1,
2015-09-13 04:54,curso1,staff,create,4,wiki,Topic 4,curso1,
2015-09-15 19:32,curso1,staff,create,4,book,Topic 4,curso1,
2015-09-16 15:11,curso1,staff,create,4,link,Topic 4,curso1,
2015-09-13 18:38,curso1,staff,create,5,blog,Topic 5,curso1,
2015-09-06 05:43,curso1,staff,submit,5,assessment,Topic 5,curso1,
2015-09-02 00:33,curso1,staff,create,5,wiki,Topic 5,curso1,
2015-09-03 10:04,curso1,staff,create,5,link,Topic 5,curso1,
2015-09-19 14:37,curso1,staff,create,5,video,Topic 5,curso1,
2015-09-17 04:52,curso1,staff,create,6,quiz,Topic 6,curso1,
2015-09-21 16:48,curso1,staff,create,6,LTI,Topic 6,curso1,
2015-09-21 15:31,curso1,staff,create,6,book,Topic 6,curso1,
2015-09-16 07:38,curso1,staff,submit,7,assessment,Topic 7,curso1,
2015-09-09 14:60,curso1,staff,create,7,wiki,Topic 7,curso1,
2015-09-14 08:44,curso1,staff,create,7,link,Topic 7,curso1,
2015-09-03 10:43,curso1,staff,create,7,video,Topic 7,curso1,
2015-09-03 19:08,curso1,staff,submit,8,assessment,Topic 8,curso1,
2015-09-03 19:50,curso1,staff,create,8,wiki,Topic 8,curso1,
2015-09-26 17:31,curso1,staff,create,8,quiz,Topic 8,curso1,
2015-09-14 22:40,curso1,staff,create,8,book,Topic 8,curso1,
2015-09-05 20:23,curso1,staff,submit,9,assessment,Topic 9,curso1,
2015-09-21 21:52,curso1,staff,create,9,wiki,Topic 9,curso1,
2015-09-15 09:36,curso1,staff,create,9,quiz,Topic 9,curso1,
2015-09-12 17:20,curso1,staff,create,9,book,Topic 9,curso1,
2015-09-05 21:14,curso1,staff,create,9,link,Topic 9,curso1,
2015-09-15 16:48,curso1,staff,submit,10,assessment,Topic 10,curso1,
2015-09-23 05:34,curso1,staff,create,10,wiki,Topic 10,curso1,
2015-09-10 06:12,curso1,staff,create,10,forum,Topic 10,curso1,
2015-09-02 08:35,curso1,staff,create,10,quiz,Topic 10,curso1,
2015-09-02 15:18,curso1,staff,create,10,link,Topic 10,curso1,
2015-09-14 06:24,curso2,staff,submit,1,assessment,Topic 1,curso2,
2015-09-09 06:21,curso2,staff,create,1,quiz,Topic 1,curso2,
2015-09-18 02:39,curso2,staff,create,1,link,Topic 1,curso2,
2015-09-23 00:54,curso2,staff,submit,2,assessment,Topic 2,curso2,
2015-09-19 24:03,curso2,staff,submit,3,assessment,Topic 3,curso2,
2015-09-08 24:00,curso2,staff,create,3,wiki,Topic 3,curso2,
2015-09-25 03:11,curso2,staff,create,3,LTI,Topic 3,curso2,
2015-09-14 10:10,curso2,staff,create,3,link,Topic 3,curso2,
2015-09-20 15:33,curso2,staff,submit,4,assessment,Topic 4,curso2,
2015-09-10 24:22,curso2,staff,create,4,quiz,Topic 4,curso2,
2015-09-16 15:36,curso2,staff,create,4,link,Topic 4,curso2,
2015-09-08 17:19,curso2,staff,create,5,forum,Topic 5,curso2,
2015-09-16 00:35,curso2,staff,create,5,LTI,Topic 5,curso2,
2015-09-16 12:24,curso2,staff,create,5,link,Topic 5,curso2,
2015-09-19 14:37,curso2,staff,submit,6,assessment,Topic 6,curso2,
2015-09-21 08:60,curso2,staff,create,6,forum,Topic 6,curso2,
2015-09-06 03:01,curso2,staff,create,6,book,Topic 6,curso2,
2015-09-18 21:33,curso2,staff,submit,7,assessment,Topic 7,curso2,
2015-09-14 11:45,curso2,staff,create,7,link,Topic 7,curso2,
2015-09-14 20:25,curso2,staff,submit,8,assessment,Topic 8,curso2,
2015-09-06 10:30,curso2,staff,create,8,wiki,Topic 8,curso2,
2015-09-08 00:57,curso2,staff,create,8,book,Topic 8,curso2,
2015-09-11 05:33,curso2,staff,create,8,link,Topic 8,curso2,
2015-09-28 16:07,curso2,staff,submit,9,assessment,Topic 9,curso2,
2015-09-16 17:05,curso2,staff,create,9,wiki,Topic 9,curso2,
2015-09-03 07:04,curso2,staff,create,9,quiz,Topic 9,curso2,
2015-09-14 06:39,curso2,staff,create,10,wiki,Topic 10,curso2,
2015-09-06 04:45,curso2,staff,post,10,forum,Topic 10,curso2,
2015-09-09 02:51,curso3,staff,create,1,quiz,Topic 1,curso3,
2015-09-15 08:14,curso3,staff,submit,2,assessment,Topic 2,curso3,
2015-09-16 16:24,curso3,staff,create,2,quiz,Topic 2,curso3,
2015-09-04 14:34,curso3,staff,create,2,book,Topic 2,curso3,
2015-09-08 00:02,curso3,staff,create,3,wiki,Topic 3,curso3,
2015-09-17 04:33,curso3,staff,create,3,quiz,Topic 3,curso3,
2015-09-03 03:12,curso3,staff,create,3,LTI,Topic 3,curso3,
2015-09-13 02:16,curso3,staff,create,3,link,Topic 3,curso3,
2015-09-10 11:05,curso3,staff,submit,4,assessment,Topic 4,curso3,
2015-09-21 14:15,curso3,staff,create,4,book,Topic 4,curso3,
2015-09-16 24:08,curso3,staff,create,5,wiki,Topic 5,curso3,
2015-09-19 23:25,curso3,staff,create,5,quiz,Topic 5,curso3,
2015-09-19 05:42,curso3,staff,create,5,book,Topic 5,curso3,
2015-09-20 20:11,curso3,staff,create,5,link,Topic 5,curso3,
2015-09-08 16:29,curso3,staff,create,5,video,Topic 5,curso3,
2015-09-14 11:09,curso3,staff,submit,6,assessment,Topic 6,curso3,
2015-09-04 12:13,curso3,staff,create,6,wiki,Topic 6,curso3,
2015-09-21 01:11,curso3,staff,create,6,forum,Topic 6,curso3,
2015-09-08 07:45,curso3,staff,create,6,quiz,Topic 6,curso3,
2015-09-20 14:46,curso3,staff,submit,7,assessment,Topic 7,curso3,
2015-09-04 10:12,curso3,staff,create,7,wiki,Topic 7,curso3,
2015-09-05 15:37,curso3,staff,create,7,forum,Topic 7,curso3,
2015-09-07 01:57,curso3,staff,create,7,link,Topic 7,curso3,
2015-09-14 10:05,curso3,staff,submit,8,assessment,Topic 8,curso3,
2015-09-18 16:46,curso3,staff,create,8,link,Topic 8,curso3,
2015-09-05 11:10,curso3,staff,submit,9,assessment,Topic 9,curso3,
2015-09-19 11:54,curso3,staff,create,9,quiz,Topic 9,curso3,
2015-09-15 02:00,curso3,staff,submit,10,assessment,Topic 10,curso3,
2015-09-15 03:23,curso3,staff,create,10,quiz,Topic 10,curso3,
2015-09-11 24:31,curso4,staff,create,1,wiki,Topic 1,curso4,
2015-09-02 15:53,curso4,staff,create,2,quiz,Topic 2,curso4,
2015-09-30 04:35,curso4,staff,create,2,LTI,Topic 2,curso4,
2015-09-06 11:18,curso4,staff,submit,3,assessment,Topic 3,curso4,
2015-09-14 03:10,curso4,staff,create,3,quiz,Topic 3,curso4,
2015-09-12 11:04,curso4,staff,create,3,link,Topic 3,curso4,
2015-09-13 07:42,curso4,staff,create,4,forum,Topic 4,curso4,
2015-09-29 23:20,curso4,staff,create,4,quiz,Topic 4,curso4,
2015-09-07 01:46,curso4,staff,create,4,book,Topic 4,curso4,
2015-09-13 09:41,curso4,staff,create,4,link,Topic 4,curso4,
2015-09-11 07:22,curso4,staff,create,5,wiki,Topic 5,curso4,
2015-09-22 19:46,curso4,staff,create,5,book,Topic 5,curso4,
2015-09-03 17:13,curso4,staff,submit,6,assessment,Topic 6,curso4,
2015-09-20 16:57,curso4,staff,create,6,quiz,Topic 6,curso4,
2015-09-15 11:34,curso4,staff,create,6,book,Topic 6,curso4,
2015-09-04 05:06,curso4,staff,submit,7,assessment,Topic 7,curso4,
2015-09-15 22:59,curso4,staff,create,7,wiki,Topic 7,curso4,
2015-09-16 00:38,curso4,staff,create,7,link,Topic 7,curso4,
2015-09-11 24:26,curso4,staff,create,7,video,Topic 7,curso4,
2015-09-19 16:36,curso4,staff,submit,8,assessment,Topic 8,curso4,
2015-09-27 13:10,curso4,staff,create,8,forum,Topic 8,curso4,
2015-09-22 21:15,curso4,staff,submit,9,assessment,Topic 9,curso4,
2015-09-19 13:51,curso4,staff,create,9,quiz,Topic 9,curso4,
2015-09-13 19:38,curso4,staff,create,9,book,Topic 9,curso4,
2015-09-21 09:21,curso4,staff,create,9,link,Topic 9,curso4,
2015-09-12 10:24,curso4,staff,submit,10,assessment,Topic 10,curso4,
2015-09-06 21:10,curso4,staff,create,10,forum,Topic 10,curso4,
2015-09-19 06:27,curso4,staff,create,10,quiz,Topic 10,curso4,
2015-09-03 17:31,curso4,staff,create,10,link,Topic 10,curso4,
2015-09-05 10:05,curso5,staff,create,1,wiki,Topic 1,curso5,
2015-09-02 04:47,curso5,staff,create,1,quiz,Topic 1,curso5,
2015-09-24 04:10,curso5,staff,create,1,link,Topic 1,curso5,
2015-09-05 07:43,curso5,staff,submit,2,assessment,Topic 2,curso5,
2015-09-15 16:11,curso5,staff,create,2,wiki,Topic 2,curso5,
2015-09-18 15:53,curso5,staff,create,2,link,Topic 2,curso5,
2015-09-17 02:04,curso5,staff,submit,3,assessment,Topic 3,curso5,
2015-09-24 08:37,curso5,staff,create,3,wiki,Topic 3,curso5,
2015-09-12 12:38,curso5,staff,create,3,forum,Topic 3,curso5,
2015-09-04 07:12,curso5,staff,create,3,video,Topic 3,curso5,
2015-09-06 22:10,curso5,staff,submit,4,assessment,Topic 4,curso5,
2015-09-11 08:18,curso5,staff,submit,5,assessment,Topic 5,curso5,
2015-09-17 01:01,curso5,staff,create,5,wiki,Topic 5,curso5,
2015-09-18 16:28,curso5,staff,create,5,video,Topic 5,curso5,
2015-09-16 21:49,curso5,staff,submit,6,assessment,Topic 6,curso5,
2015-09-08 07:08,curso5,staff,create,6,wiki,Topic 6,curso5,
2015-09-10 02:42,curso5,staff,create,6,forum,Topic 6,curso5,
2015-09-10 01:31,curso5,staff,create,6,video,Topic 6,curso5,
2015-09-25 22:17,curso5,staff,submit,7,assessment,Topic 7,curso5,
2015-09-14 12:35,curso5,staff,create,7,wiki,Topic 7,curso5,
2015-09-15 03:22,curso5,staff,create,7,book,Topic 7,curso5,
2015-09-11 02:25,curso5,staff,create,7,link,Topic 7,curso5,
2015-09-11 13:06,curso5,staff,create,8,quiz,Topic 8,curso5,
2015-09-23 03:05,curso5,staff,create,8,link,Topic 8,curso5,
2015-09-21 17:37,curso5,staff,create,8,video,Topic 8,curso5,
2015-09-29 17:60,curso5,staff,create,9,link,Topic 9,curso5,
2015-09-19 20:56,curso5,staff,submit,10,assessment,Topic 10,curso5,
2015-09-20 20:58,curso5,staff,create,10,forum,Topic 10,curso5,
2015-09-17 05:47,curso5,staff,create,10,quiz,Topic 10,curso5,
2015-09-17 06:23,curso5,staff,create,10,LTI,Topic 10,curso5,
2015-09-13 13:34,curso5,staff,create,10,book,Topic 10,curso5,
2015-09-11 10:03,curso5,staff,create,10,link,Topic 10,curso5,
2015-09-08 23:36,100,student,view,1,wiki,Topic 1,curso1,
2015-09-08 18:57,100,student,view,1,link,Topic 1,curso1,
2015-09-08 19:57,100,student,view,1,wiki,Topic 1,curso1,
2015-09-08 02:21,100,student,view,1,quiz,Topic 1,curso1,
2015-09-08 07:57,100,student,view,1,wiki,Topic 1,curso1,
2015-09-08 06:13,100,student,view,1,quiz,Topic 1,curso1,
2015-09-08 03:01,100,student,view,1,link,Topic 1,curso1,
2015-09-08 01:13,100,student,view,1,wiki,Topic 1,curso1,
2015-09-08 00:16,100,student,view,1,quiz,Topic 1,curso1,
2015-09-08 16:33,100,student,view,1,link,Topic 1,curso1,
2015-09-08 09:35,100,student,view,1,wiki,Topic 1,curso1,
2015-09-08 23:02,100,student,view,1,quiz,Topic 1,curso1,
2015-09-08 10:47,100,student,view,1,quiz,Topic 1,curso1,
